kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,5.6 MiB,5704,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Rancher Desktop/GPUCache,/Users/yaniv/Library/Application Support/Rancher Desktop,false
cache-like,5.6 MiB,5704,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code/GPUCache,/Users/yaniv/Library/Application Support/Code,false
cache-like,5.6 MiB,5704,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code - Insiders/GPUCache,/Users/yaniv/Library/Application Support/Code - Insiders,false
cache-like,5.6 MiB,5704,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Slack/GPUCache,/Users/yaniv/Library/Application Support/Slack,false
cache-like,5.4 MiB,5496,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.itunescloudd,,false
support/container,5.2 MiB,5372,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/Edge Shopping,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,5.2 MiB,5316,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.weather.widget,,false
support/container,5.1 MiB,5264,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.photolibraryd,,false
support/container,5.1 MiB,5248,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/com.apple.ProtectedCloudStorage,,false
cache-like,5.0 MiB,5124,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.python/Library,/Users/yaniv/Library/Caches/com.apple.python,false
support/container,5.0 MiB,5116,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.ScreenTimeWidgetApplication.ScreenTimeWidgetExtension,,false
support/container,5.0 MiB,5080,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.systempreferences.AppleIDSettings,,false
cache-like,4.5 MiB,4640,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Arc/EaselImagesCache,/Users/yaniv/Library/Caches/Arc,false
support/container,4.4 MiB,4536,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.openai.chat/conversations-v3-7fb09b21-c400-4a68-a7f3-1f94a035df42,/Users/yaniv/Library/Application Support/com.openai.chat,false
cache-like,4.3 MiB,4372,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.storekitagent,,false
cache-like,4.2 MiB,4252,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.FeatureAccessAgent,,false
cache-like,4.1 MiB,4188,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.microsoft.SyncReporter,,false
cache-like,4.1 MiB,4148,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.openai.chat,,false
cache-like,4.0 MiB,4136,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.apple.tipsd,,false
support/container,4.0 MiB,4096,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/BrowserMetrics,/Users/yaniv/Library/Application Support/Comet,false
cache-like,3.8 MiB,3932,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.Spotlight,,false
cache-like,3.7 MiB,3784,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/statsig-cache/client-qs8mEvZTRkamsK5AqwsBaPfGX3CwPOs4it0lVlPGKcu,/Users/yaniv/Library/Caches/statsig-cache,false
support/container,3.6 MiB,3692,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/2BBY89MBSN.dev.warp,,false
cache-like,3.6 MiB,3680,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.amsaccountsd,,false
