kind,size,size_kb,path
support/container,29.5 MiB,30164,/Users/yaniv/Library/Application Support/OneDrive/settings
cache-like,28.0 MiB,28668,/Users/yaniv/Library/Caches/com.apple.e5rt.e5bundlecache
cache-like,28.0 MiB,28668,/Users/yaniv/Library/Caches/com.apple.e5rt.e5bundlecache/25E253
support/container,27.6 MiB,28236,/Users/yaniv/Library/Application Support/Code - Insiders/Cache
support/container,25.5 MiB,26068,/Users/yaniv/Library/Containers/com.microsoft.Excel
support/container,22.6 MiB,23172,/Users/yaniv/Library/Application Support/Comet/WasmTtsEngine
support/container,20.9 MiB,21444,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Safe Browsing
support/container,19.6 MiB,20028,/Users/yaniv/Library/Application Support/Slack
cache-like,19.2 MiB,19668,/Users/yaniv/Library/Caches/Google/Chrome Canary
cache-like,19.1 MiB,19524,/Users/yaniv/Library/Caches/com.apple.helpd/Generated
support/container,18.4 MiB,18796,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/component_crx_cache
cache-like,18.3 MiB,18772,/Users/yaniv/Library/Caches/Dia
cache-like,18.3 MiB,18772,/Users/yaniv/Library/Caches/Dia/User Data
support/container,18.1 MiB,18536,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/adblocker_data
support/container,17.2 MiB,17600,/Users/yaniv/Library/Application Support/Comet/WidevineCdm
support/container,16.9 MiB,17284,/Users/yaniv/Library/Application Support/Comet/Safe Browsing
support/container,16.7 MiB,17132,/Users/yaniv/Library/Application Support/Microsoft Edge/WidevineCdm
support/container,16.7 MiB,17116,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/WidevineCdm
cache-like,16.4 MiB,16776,/Users/yaniv/Library/Caches/com.apple.parsecd
support/container,15.4 MiB,15800,/Users/yaniv/Library/Application Support/Code - Insiders/WebStorage
cache-like,15.1 MiB,15504,/Users/yaniv/Library/Caches/com.apple.helpd/fsCachedData
cache-like,14.5 MiB,14872,/Users/yaniv/Library/Caches/Homebrew/bootsnap
support/container,14.5 MiB,14868,/Users/yaniv/Library/Application Support/Microsoft Edge/Edge Wallet
support/container,13.6 MiB,13880,/Users/yaniv/Library/Application Support/rancher-desktop/electron
cache-like,13.1 MiB,13384,/Users/yaniv/Library/Caches/com.openai.atlas
support/container,13.0 MiB,13268,/Users/yaniv/Library/Group Containers/group.com.apple.CoreSpeech
cache-like,12.8 MiB,13116,/Users/yaniv/Library/Caches/com.openai.atlas/browser-data
support/container,12.2 MiB,12508,/Users/yaniv/Library/Application Support/Microsoft Edge/GraphiteDawnCache
cache-like,12.2 MiB,12480,/Users/yaniv/Library/Caches/com.apple.TV
support/container,11.8 MiB,12128,/Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin
cache-like,11.6 MiB,11884,/Users/yaniv/Library/Caches/com.apple.helpd/NSFileProtectionCompleteUntilFirstUserAuthentication
cache-like,11.5 MiB,11768,/Users/yaniv/Library/Caches/com.microsoft.SharePoint-mac
support/container,11.4 MiB,11708,/Users/yaniv/Library/Application Support/Code - Insiders/CachedData
cache-like,10.6 MiB,10840,/Users/yaniv/Library/Caches/com.apple.CloudTelemetry
cache-like,10.6 MiB,10840,/Users/yaniv/Library/Caches/com.apple.CloudTelemetry/XPCService
cache-like,10.5 MiB,10796,/Users/yaniv/Library/Logs/OneDrive
cache-like,10.2 MiB,10492,/Users/yaniv/Library/Caches/com.apple.appstoreagent
cache-like,9.7 MiB,9972,/Users/yaniv/Library/Caches/SharedImageCache
cache-like,9.3 MiB,9568,/Users/yaniv/Library/Caches/com.vmware.hub.mac
support/container,9.2 MiB,9468,/Users/yaniv/Library/Containers/com.apple.stocks.widget
support/container,9.2 MiB,9408,/Users/yaniv/Library/Application Support/Slack/logs
cache-like,9.1 MiB,9332,/Users/yaniv/Library/Caches/us.zoom.xos
cache-like,9.0 MiB,9264,/Users/yaniv/Library/Logs/OneDrive/ListSync
cache-like,9.0 MiB,9252,/Users/yaniv/Library/Caches/us.zoom.xos/WebKit
support/container,8.9 MiB,9080,/Users/yaniv/Library/Application Support/Code/blob_storage
support/container,8.4 MiB,8572,/Users/yaniv/Library/Application Support/Codex
cache-like,8.2 MiB,8428,/Users/yaniv/Library/Caches/icloudmailagent
cache-like,8.2 MiB,8388,/Users/yaniv/Library/Caches/com.apple.TV/fsCachedData
support/container,8.0 MiB,8192,/Users/yaniv/Library/Application Support/Microsoft Edge/BrowserMetrics
support/container,7.7 MiB,7848,/Users/yaniv/Library/Application Support/Adobe
support/container,7.6 MiB,7732,/Users/yaniv/Library/Application Support/Comet/OnDeviceHeadSuggestModel
support/container,7.1 MiB,7268,/Users/yaniv/Library/Application Support/Rancher Desktop
support/container,6.9 MiB,7096,/Users/yaniv/Library/Application Support/Adobe/Acrobat
support/container,6.8 MiB,6924,/Users/yaniv/Library/Application Support/Comet/GraphiteDawnCache
support/container,6.8 MiB,6916,/Users/yaniv/Library/Containers/com.apple.AppleMediaServicesUI.UtilityExtension
support/container,6.6 MiB,6740,/Users/yaniv/Library/Containers/com.apple.mediastream.mstreamd
support/container,6.6 MiB,6736,/Users/yaniv/Library/Application Support/Comet/Crashpad
cache-like,6.5 MiB,6652,/Users/yaniv/Library/Caches/com.microsoft.SharePoint-mac/fsCachedData
cache-like,6.4 MiB,6600,/Users/yaniv/Library/Caches/com.openai.chat
cache-like,6.4 MiB,6568,/Users/yaniv/Library/Caches/com.apple.amsengagementd
cache-like,6.2 MiB,6372,/Users/yaniv/Library/Caches/com.apple.ctcategories.service
cache-like,6.2 MiB,6364,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices
cache-like,6.1 MiB,6296,/Users/yaniv/Library/Caches/icloudmailagent/com.apple.e5rt.e5bundlecache
support/container,6.1 MiB,6280,/Users/yaniv/Library/Containers/com.apple.Preview
support/container,6.1 MiB,6200,/Users/yaniv/Library/Group Containers/group.com.apple.icloudMCCKit
support/container,6.0 MiB,6144,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/GraphiteDawnCache
support/container,5.9 MiB,6012,/Users/yaniv/Library/Application Support/Codex/Cache
support/container,5.8 MiB,5960,/Users/yaniv/Library/Containers/com.apple.AMPArtworkAgent
support/container,5.6 MiB,5704,/Users/yaniv/Library/Application Support/Cursor/GPUCache
support/container,5.6 MiB,5704,/Users/yaniv/Library/Application Support/Rancher Desktop/GPUCache
support/container,5.6 MiB,5704,/Users/yaniv/Library/Application Support/Code/GPUCache
support/container,5.6 MiB,5704,/Users/yaniv/Library/Application Support/Code - Insiders/GPUCache
support/container,5.6 MiB,5704,/Users/yaniv/Library/Application Support/Slack/GPUCache
cache-like,5.4 MiB,5496,/Users/yaniv/Library/Caches/com.apple.itunescloudd
cache-like,5.3 MiB,5408,/Users/yaniv/Library/Caches/com.apple.python
support/container,5.2 MiB,5372,/Users/yaniv/Library/Application Support/Microsoft Edge/Edge Shopping
support/container,5.2 MiB,5316,/Users/yaniv/Library/Containers/com.apple.weather.widget
support/container,5.1 MiB,5264,/Users/yaniv/Library/Containers/com.apple.photolibraryd
support/container,5.1 MiB,5248,/Users/yaniv/Library/Application Support/com.apple.ProtectedCloudStorage
cache-like,5.0 MiB,5124,/Users/yaniv/Library/Caches/com.apple.python/Library
support/container,5.0 MiB,5116,/Users/yaniv/Library/Containers/com.apple.ScreenTimeWidgetApplication.ScreenTimeWidgetExtension
support/container,5.0 MiB,5080,/Users/yaniv/Library/Containers/com.apple.systempreferences.AppleIDSettings
cache-like,4.5 MiB,4640,/Users/yaniv/Library/Caches/Arc/EaselImagesCache
cache-like,4.3 MiB,4372,/Users/yaniv/Library/Caches/com.apple.storekitagent
cache-like,4.2 MiB,4252,/Users/yaniv/Library/Caches/com.apple.FeatureAccessAgent
cache-like,4.1 MiB,4188,/Users/yaniv/Library/Caches/com.microsoft.SyncReporter
