app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
LM Studio,ai.elementlabs.lmstudio,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/LM Studio/Crashpad,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/Crashpad,
Warp,dev.warp.Warp-Stable,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Warp,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/Crashpad,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/Crashpad,
Arc,company.thebrowser.Browser,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Arc,
Codex,com.openai.codex,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Codex/Crashpad,
Brave Browser,com.brave.Browser,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Crashpad,
Ghostty,com.mitchellh.ghostty,support/container,4.0 KiB,4,bundle-id support,/Users/yaniv/Library/Application Support/com.mitchellh.ghostty,
Microsoft PowerPoint,com.microsoft.Powerpoint,support/container,4.0 KiB,4,bundle-id container,/Users/yaniv/Library/Containers/com.microsoft.Powerpoint,
Slack,com.tinyspeck.slackmacgap,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Slack/Crashpad,
Opera,com.operasoftware.Opera,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Crash Reports,
Opera,com.operasoftware.Opera,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/extensions_crx_cache,
