app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related,total_related_kb,candidate_count,ambiguous_path_count,ambiguous_paths,path,matched_library_paths
Telegram,ru.keepcoder.Telegram,298.6 MiB,305792,3.8 MiB,3936,108.9 MiB,111552,112.8 MiB,115488,4,0,,/Applications/Telegram.app,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/Caches; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/HTTPStorages
Microsoft Word,com.microsoft.Word,2.6 GiB,2740560,90.4 MiB,92616,15.1 MiB,15464,105.5 MiB,108080,4,0,,/Applications/Microsoft Word.app,/Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Logs; /Users/yaniv/Library/Containers/com.microsoft.Word; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Application Support/Microsoft/FontPreviewCache; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Application Support/Microsoft/FontCache
Microsoft Outlook,com.microsoft.Outlook,2.7 GiB,2808240,95.1 MiB,97340,9.3 MiB,9512,104.3 MiB,106852,4,0,,/Applications/Microsoft Outlook.app,/Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Logs; /Users/yaniv/Library/Containers/com.microsoft.Outlook; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Application Support/Microsoft/FontPreviewCache; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/WebKit; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Application Support/Microsoft/FontCache; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/tmp/WebKit
Cursor,com.todesktop.230313mzl4w4u92,768.3 MiB,786768,49.9 MiB,51116,2.3 MiB,2392,52.3 MiB,53508,4,0,,/Applications/Cursor.app,/Users/yaniv/Library/Application Support/Cursor/CachedData; /Users/yaniv/Library/Application Support/Cursor/GPUCache; /Users/yaniv/Library/Application Support/Cursor/logs; /Users/yaniv/Library/Application Support/Cursor; /Users/yaniv/Library/Application Support/Cursor/CachedProfilesData; /Users/yaniv/Library/Application Support/Cursor/DawnWebGPUCache; /Users/yaniv/Library/Application Support/Cursor/DawnGraphiteCache; /Users/yaniv/Library/Caches/com.todesktop.230313mzl4w4u92; +6 more
Microsoft Excel,com.microsoft.Excel,2.5 GiB,2584348,36.9 MiB,37812,9.4 MiB,9592,46.3 MiB,47404,4,0,,/Applications/Microsoft Excel.app,/Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Logs; /Users/yaniv/Library/Containers/com.microsoft.Excel; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Application Support/Microsoft/FontPreviewCache; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Application Support/Microsoft/FontCache; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/HTTPStorages
OneDrive,com.microsoft.OneDrive,1.4 GiB,1452740,9.2 MiB,9472,31.5 MiB,32212,40.7 MiB,41684,3,0,,/Applications/OneDrive.app,/Users/yaniv/Library/Application Support/OneDrive; /Users/yaniv/Library/Logs/OneDrive; /Users/yaniv/Library/Caches/OneDrive
Slack,com.tinyspeck.slackmacgap,286.2 MiB,293036,17.5 MiB,17912,2.4 MiB,2476,19.9 MiB,20388,4,0,,/Applications/Slack.app,/Users/yaniv/Library/Application Support/Slack/logs; /Users/yaniv/Library/Application Support/Slack/GPUCache; /Users/yaniv/Library/Application Support/Slack; /Users/yaniv/Library/Application Support/Slack/Cache; /Users/yaniv/Library/Application Support/Slack/DawnGraphiteCache; /Users/yaniv/Library/Application Support/Slack/DawnCache; /Users/yaniv/Library/Application Support/Slack/DawnWebGPUCache; /Users/yaniv/Library/Caches/com.tinyspeck.slackmacgap; +6 more
ChatGPT,com.openai.chat,155.2 MiB,158920,10.5 MiB,10760,4.5 MiB,4600,15.0 MiB,15360,4,0,,/Applications/ChatGPT.app,/Users/yaniv/Library/Caches/com.openai.chat; /Users/yaniv/Library/Application Support/com.openai.chat; /Users/yaniv/Library/HTTPStorages/com.openai.chat
Oracle Unified Login,com.oraclecorp.int.UnifiedLogin,36.5 MiB,37412,12.0 MiB,12292,44.0 KiB,44,12.0 MiB,12336,4,0,,/Applications/Oracle Unified Login.app,/Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/Caches; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/Logs; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/WebKit; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin
Sonos,com.sonos.macController2,106.7 MiB,109280,4.1 MiB,4184,0 B,0,4.1 MiB,4184,5,0,,/Applications/Sonos.app,/Users/yaniv/Library/Logs/Sonos; /Users/yaniv/Library/Caches/com.sonos.macController2; /Users/yaniv/Library/HTTPStorages/com.sonos.macController2; /Users/yaniv/Library/Saved Application State/com.sonos.macController2.savedState; /Users/yaniv/Library/Caches/SentryCrash/Sonos
LM Studio,ai.elementlabs.lmstudio,587.5 MiB,601576,3.0 MiB,3060,680.0 KiB,680,3.7 MiB,3740,2,0,,/Applications/LM Studio.app,/Users/yaniv/Library/Application Support/LM Studio/GPUCache; /Users/yaniv/Library/Application Support/LM Studio; /Users/yaniv/Library/Application Support/LM Studio/DawnGraphiteCache; /Users/yaniv/Library/Application Support/LM Studio/DawnWebGPUCache; /Users/yaniv/Library/Application Support/LM Studio/Cache; /Users/yaniv/Library/Logs/LM Studio; /Users/yaniv/Library/Application Support/LM Studio/Code Cache; /Users/yaniv/Library/Application Support/LM Studio/Shared Dictionary/cache; +1 more
iTerm2,com.googlecode.iterm2,134.2 MiB,137372,3.1 MiB,3164,440.0 KiB,440,3.5 MiB,3604,3,0,,/Applications/iTerm.app,/Users/yaniv/Library/HTTPStorages/com.googlecode.iterm2; /Users/yaniv/Library/Caches/com.googlecode.iterm2; /Users/yaniv/Library/Application Support/iTerm2
Windows App,com.microsoft.rdc.macos,235.5 MiB,241116,540.0 KiB,540,2.1 MiB,2180,2.7 MiB,2720,4,0,,/Applications/Windows App.app,/Users/yaniv/Library/Containers/com.microsoft.rdc.macos; /Users/yaniv/Library/Containers/com.microsoft.rdc.macos/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.rdc.macos/Data/Library/HTTPStorages
