kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/pgAdmin 4/Crashpad,/Users/yaniv/Library/Application Support/pgAdmin 4,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/UMS/data,/Users/yaniv/Library/Application Support/UMS,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/NativeMessagingHosts,/Users/yaniv/Library/Application Support/Microsoft Edge,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/cloud-code,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Dropbox/sentry,/Users/yaniv/Library/Application Support/Dropbox,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/com.lastpass.lastpassmacdesktop,,true
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.lastpass.lastpassmacdesktop/com.crashlytics,/Users/yaniv/Library/Application Support/com.lastpass.lastpassmacdesktop,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/azuredatastudio/Azure Accounts,/Users/yaniv/Library/Application Support/azuredatastudio,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Wondershare Filmora 10/SharedMediaResource,/Users/yaniv/Library/Application Support/Wondershare Filmora 10,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.apple.wallpaper/Store,/Users/yaniv/Library/Application Support/com.apple.wallpaper,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Alfred/Alfred.alfredpreferences,/Users/yaniv/Library/Application Support/Alfred,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/JREInstaller,,false
